cardId,ImageURL
1,https://vertical.pstatic.net/vertical-cardad/creatives/SS/1530/SS_1530_20241101-100614_ver.png
2,https://vertical.pstatic.net/vertical-cardad/creatives/SS/1531/SS_1531_20221229-134657_hor.png
3,https://vertical.pstatic.net/vertical-cardad/creatives/SH/1408/SH_1408_20230213-143750_ver.png
4,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10304/LO_10304_20231114-020043_ver.png
5,https://vertical.pstatic.net/vertical-cardad/creatives/KB/115/KB_115_20230125-142026_hor.png
6,https://vertical.pstatic.net/vertical-cardad/creatives/KB/1692/KB_1692_20230125-142003_hor.png
7,https://vertical.pstatic.net/vertical-cardad/creatives/SS/3881/SS_3881_20221229-141914_hor.png
8,https://vertical.pstatic.net/vertical-cardad/creatives/SS/10157/SS_10157_20230103-181148_ver.png
9,https://vertical.pstatic.net/vertical-cardad/creatives/IB/10340/IB_10340_20240326-101050_hor.png
10,https://vertical.pstatic.net/vertical-cardad/creatives/KB/10216/KB_10216_20240314-135529_hor.png
11,https://vertical.pstatic.net/vertical-cardad/creatives/KB/1470/KB_1470_20231024-103817_hor.png
12,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10387/LO_10387_20240702-103201_ver.png
13,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10303/LO_10303_20231114-004652_ver.png
14,https://vertical.pstatic.net/vertical-cardad/creatives/KB/1294/KB_1294_20230308-153427_hor.png
15,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10375/LO_10375_20240614-140841_ver.png
16,https://vertical.pstatic.net/vertical-cardad/creatives/KB/2332/KB_2332_20230215-134842_hor.png
17,https://vertical.pstatic.net/vertical-cardad/creatives/IB/3836/IB_3836_hor.png
18,https://vertical.pstatic.net/vertical-cardad/creatives/SS/10328/SS_10328_20240306-145101_ver.png
19,https://vertical.pstatic.net/vertical-cardad/creatives/SS/1465/SS_1465_20221229-134520_ver.png
20,https://vertical.pstatic.net/vertical-cardad/creatives/KB/3717/KB_3717_20230308-152833_hor.png
21,https://vertical.pstatic.net/vertical-cardad/creatives/IB/3878/IB_3878_hor.png
22,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10391/LO_10391_20240702-104217_ver.png
23,https://vertical.pstatic.net/vertical-cardad/creatives/KB/10302/KB_10302_20231115-181801_hor.png
24,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10071/LO_10071_20210802-162442_ver.png
25,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10307/LO_10307_20231121-040446_ver.png
26,https://vertical.pstatic.net/vertical-cardad/creatives/SS/10126/SS_10126_20221229-134439_ver.png
27,https://vertical.pstatic.net/vertical-cardad/creatives/IB/10341/IB_10341_20240326-101521_hor.png
28,https://vertical.pstatic.net/vertical-cardad/creatives/IB/1202/IB_1202_hor.png
29,https://vertical.pstatic.net/vertical-cardad/creatives/KB/1451/KB_1451_20240126-112342_hor.png
30,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10388/LO_10388_20240702-104039_hor.png
31,https://vertical.pstatic.net/vertical-cardad/creatives/SS/10102/SS_10102_20230217-102927_ver.png
32,https://vertical.pstatic.net/vertical-cardad/creatives/SS/593/SS_593_20230103-175539_hor.png
33,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10107/LO_10107_20211111-174314_ver.png
34,https://vertical.pstatic.net/vertical-cardad/creatives/KB/10301/KB_10301_20231115-161338_hor.png
35,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10105/LO_10105_20211111-160041_ver.png
36,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10141/LO_10141_20220401-175950_hor.png
37,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10106/LO_10106_20211111-171423_ver.png
38,https://vertical.pstatic.net/vertical-cardad/creatives/LO/1322/LO_1322_hor.png
39,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10306/LO_10306_20231114-163944_ver.png
40,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10310/LO_10310_20231130-011130_ver.png
41,https://vertical.pstatic.net/vertical-cardad/creatives/LO/1684/LO_1684_20220915-160142_hor.png
42,https://vertical.pstatic.net/vertical-cardad/creatives/SS/10256/SS_10256_20230602-133911_ver.png
43,https://vertical.pstatic.net/vertical-cardad/creatives/SS/1695/SS_1695_20230103-175044_hor.png
44,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10108/LO_10108_20211111-182305_ver.png
45,https://vertical.pstatic.net/vertical-cardad/creatives/KB/10332/KB_10332_20240829-110648_ver.png
46,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10305/LO_10305_20231114-025827_ver.png
47,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10176/LO_10176_20220823-135019_hor.png
48,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10390/LO_10390_20240702-104058_ver.png
49,https://vertical.pstatic.net/vertical-cardad/creatives/SS/3857/SS_3857_20230103-174906_hor.png
50,https://vertical.pstatic.net/vertical-cardad/creatives/SS/10349/SS_10349_20240417-175252_ver.png
51,https://vertical.pstatic.net/vertical-cardad/creatives/KB/1316/KB_1316_20230308-153352_hor.png
52,https://vertical.pstatic.net/vertical-cardad/creatives/LO/10309/LO_10309_20231130-001110_hor.png
53,https://vertical.pstatic.net/vertical-cardad/creatives/WR/10333/WR_10333_20240325-114427_ver.png
54,https://vertical.pstatic.net/vertical-cardad/creatives/WR/10286/WR_10286_20230725-123934_ver.png
55,https://vertical.pstatic.net/vertical-cardad/creatives/SS/10184/SS_10184_20221004-224031_ver.png
56,https://vertical.pstatic.net/vertical-cardad/creatives/SS/10103/SS_10103_20230103-181015_ver.png
57,https://vertical.pstatic.net/vertical-cardad/creatives/BC/10295/BC_10295_20231010-091537_ver.png
58,https://vertical.pstatic.net/vertical-cardad/creatives/BC/10171/BC_10171_20220803-153235_ver.png
59,https://vertical.pstatic.net/vertical-cardad/creatives/WR/10345/WR_10345_20240402-145101_ver.png
60,https://vertical.pstatic.net/vertical-cardad/creatives/IB/1715/IB_1715_hor.png
61,https://vertical.pstatic.net/vertical-cardad/creatives/BC/10172/BC_10172_20220803-162825_ver.png
62,https://vertical.pstatic.net/vertical-cardad/creatives/SS/10146/SS_10146_20230103-181035_ver.png
63,https://vertical.pstatic.net/vertical-cardad/creatives/SS/10281/SS_10281_20230719-115645_hor.png
64,https://vertical.pstatic.net/vertical-cardad/creatives/SS/3896/SS_3896_20230103-174943_hor.png
